overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,relevance_score,packing/outter appearance/shipping,health/ingredient,pricing/volume/quality,Cooking/how to use,Taste/texture,mentioned irrelavant info?
5,TRUE,"02 15, 2013",A2HOJHOLVH18IY,B000JSLYSU,Sue Ab,"If Americans don't know Flake, they should. It is one of the best chocolates! I was so hppy to find it online on amazon since it was hard to find in the US. It is quite popular in Europe and the Middle East, cause Cadbury rocks!",Great,1360886400,,3,,,,,1,
5,TRUE,"04 29, 2016",A26K3T6L5NYO7L,B005CV7W58,PennyPincher,"I have to give these 5 stars, despite the fact that I personally despise Oreos.  Yes, there are not many of us here in America judging by the amount of shelf space devoted to them, but I am an official hater of all things Oreo.  I've tried countless varieties and have not found a single flavor that I would waste the calories by eating a second.  BUT, these were purchased for my out-of-state Grandma's care package because she is an Oreo lover.  She has been for nearly a century.  She says these (with the extra filling) are even better than the originals, so I include a package now and then.",Double the Stuff(ing) for Double the Sweetness?,1461888000,,3,,,,,1,
5,TRUE,"10 24, 2013",A34CCVBWLJ21T2,B000WS3AJ8,liz,"I love these organic hers. especially that the names of the herbs are on the top, makes it easy to pick them out from the cabinet",oranic herbs,1382572800,,2,,1,,,,
5,TRUE,"02 27, 2013",A23EGDB0MG3GEK,B001BM3LWA,PaulaOwl,"Nice combination of ingredients and I love the taste of this soup. Haven't used salt or eaten spicy foods for over 20 years so I like that there is no added salt, but I understand how people who are used to salted and spicey foods would need to spice this up in order to like it. Just glad I don't need to do that!",Love this Soup!,1361923200,,3,,1,,,,
5,TRUE,"02 07, 2018",AJU9GB3EZEDRJ,B001PQRENO,eugene f wilson jr,As expected.,Five Stars,1517961600,,1,,,,,,
5,TRUE,"01 16, 2014",A2NMJC9QZGLVU3,B0012MWVT8,Gayle Bumgarner,Bronco Bob's Tangy Apricot Chipotle Sauce is multi purpose but I especially enjoy serving it over cream cheese with crackers as an appetizer.  Guests always want to know what they're enjoying!!,All Around Great Sauce,1389830400,,3,,,,1,,
1,TRUE,"07 06, 2016",A1XPM0U8HZ8BXD,B01ED2BFTA,j. Windham,"i was so excited about these. i LOVE buttered popcorn jelly belly jelly beans. unfortunately, these are not good at all. they have a buttered popcorn flavor at first but then the worst after taste hits and it's just gross. i ate a few, had the spit them out. decided to give it a second try, thinking i could've had a taste in my mouth somehow and nope... it's the jelly bean. will not recommend this product! if anyone knows of a good buttered popcorn JB supplier let me know!",i LOVE buttered popcorn jelly belly jelly beans,1467763200,2,4,,,,,-1,
4,TRUE,"01 21, 2013",A16QD1URAO0UVM,B004VLVPJY,Scott Noble,"I like that this organic and is a tasty cereal, but it definitely is different from ""cream of wheat"" that is made with processed flour. If you took regular cream of wheat and put in a scoop of wheat bran you would have something similar to this. It definitely is healthy and has similar fiber to a bowl of oatmeal. A good alternative if you want to add more fiber to your diet but are tired of oatmeal.","Ok, but not like cream of wheat",1358726400,11,4,,1,,1,,
5,TRUE,"12 5, 2014",A957W2WXIUON1,B01E5XTW24,Kaye Hubenak,Love the breakfast blend!,Five Stars,1417737600,,1,,,,,,
5,TRUE,"04 03, 2009",A1SKDL7I9159F8,B000CN7BMA,Douglas M. Brannan,"I visit Brazil a lot for business and personal reasons. Before I found ZICO, I used to buy an extra suitcase, just to bring home as much of this coconut water as I could carry. I am soooo happy now that I can find it here in the USA by a very reputable company. I just bought a case last week and now I am ordering another one. Try it, if you have never had it. It tastes great and is good for you.",Amazing Beverage from Brazil!,1238716800,,2,1,,,,,
5,TRUE,"12 29, 2013",AEDG8C2LW5LI0,B0064RANJG,satisfied for success,"Title says it all; best oreos we've ever had!

I didn't expect they would be that good, but they are! Tasted fresh too (they let me try one)! The person I purchased them for loved them as well even though Dark Chocolate isn't their favorite. Well worth the purchase!",Best Oreos We've Ever Had!,1388275200,,3,,,,,1,
5,TRUE,"03 31, 2017",ATGL027EXCC3L,B010VF2C0Y,bauyo,nice,Five Stars,1490918400,,1,,,,,,
5,TRUE,"06 10, 2015",AS68IY4LPCGJ6,B00CMS97YS,Gregg Josephson,Excellent flavor and texture,Five Stars,1433894400,2,2,,,,,1,
1,TRUE,"02 14, 2018",A1DDQSS6JFZ0LL,B004SI9DXK,Amazon Customer,"Licorice received dried up and nasty. Seems like it was exposed,to hear and melted together. Just a glob.",Seems like it was exposed,1518566400,,3,-1,,,,-1,
3,TRUE,"10 29, 2013",A1UC9UN2DQBPBI,B009ZSOBOO,Lisa M. Myers,"I ordered these cupcake toppers Oct. 8, did not get them till Oct. 21, later noticed it says ""UK"" on the picture of the toppers, should have known, the shipping was more than the price of the item.  It should say this somewhere in the description!  They were a little small, pictures looked ok, had ordered some from another vendor because I didn't think these would be here before my daughters birthday.  I basically gave them 3 stars because they are 1D, we love them!",Don't be in a hurry for these...,1383004800,,2,-1,,,,,
3,TRUE,"08 30, 2017",A1X343I7ZTDWFG,B00AFYMRKM,sugarsquare,Ok hot sauce. Nothing special,Ok,1504051200,,2,,,,,-1,
5,TRUE,"08 25, 2015",A3W1OYUOER4FWJ,B000168QTU,remmahsetelcarap,I love this geisha tea. It is excellent. And so hard to find in stores anymore. I will be ordering again when this transmission runs out.,"CS Mandarin Orange Spice ""Geisha"" Tea",1440460800,,2,,,,,1,
1,TRUE,"06 08, 2015",A38O5HCHCPNITH,B00LUMUOJO,E.L,"Gross flavor. I thought I would love it, but it was a huge letdown. I wish I hadn't bought so much of it!",Gross!,1433721600,,2,,,,,1,
4,TRUE,"01 11, 2018",ASA9RQU34RZNX,B00L4JURMM,dog/book lover,"Yummy, but I would recommend the peeled ones b/c the outer layer has strong flavor and takes away from the sweetness. Some taste a bit like red wine. They are not easy to chew though, I think I will try soaking a handful of tiger nuts to see if that softens them up a bit.",Love them! Peeled would be a better choice,1515628800,,3,,,,1,1,
5,TRUE,"05 13, 2018",A3JTLY8H2IUHEX,B004NRLB8G,M.P.,The rice is from a new crop. It'd be great if there was an expiration date on the package though.,New crop,1526169600,,2,-1,,,,,
4,TRUE,"05 16, 2016",A3DBH3EUKSMD09,B00P1N1OY2,Michelle T.,Loving these for Juicing! Took a little longer to ship but arrived in great condition and are great for their purpose!,Loving,1463356800,,3,1,,,,,
5,TRUE,"06 27, 2016",A14NJTOJBNB5V6,B000JCTX5W,MoodyLady#88,sent as donation to U.S. troops overseas,Five Stars,1466985600,,1,,,,,,
5,TRUE,"03 26, 2016",A1JFWYSQVW583B,B00DBMBVL6,Jackie Runyon,We have ordered several different kinds of Truffle Sea Salt and this brand is the best so far!  We have purchased this product several times and will continue to do so.,Excellent Flavor and Aroma,1458950400,,2,,,1,,,
5,TRUE,"07 03, 2018",AT97SHBSYVAK2,B00GO6GUIU,Grannie,Hugh fluffy kernels.,No leftover kernels.,1530576000,,2,,,,,1,
5,TRUE,"08 06, 2015",A3L0Z0FBF5C3C4,B00GDFADOE,Michelle Henry,No funky smell or taste.. LOVE it!,Perky Pineapple!,1438819200,,2,,,,,1,
3,TRUE,"01 25, 2015",A2UKW2B2PX9X6J,B00C1WEORU,GFmom,"I ordered this from Amazon this month. (Tropical Orange) These are tasty juice (and also Gluten Free!), but I noticed that mine has a different nutrition label. Mine has 50 calories & 12g of sugars :( I especially ordered this flavor because it says ""sugars - 6g"" on the product page. Please see my pictures of actual item that I received from Amazon.",Sugars NOT 6g!,1422144000,20,3,,-1,,,,
2,TRUE,"09 23, 2017",A16TVR3A4MPVCN,B01GUDWG98,MamaBear,Great idea but not worth the price. Was cheaply made. Felt like an emery board but was way more flimsier than one. This in no way is worth $27. More like $8. It looked nice but I think I could have paid less than half the price for a plain black one and gotten just as many compliments. Very disappointed in the quality for the price.,Not worth the price. Shop around and save your money.,1506124800,,3,,,-1,,,
5,TRUE,"06 18, 2015",A148JXKDZDFHOT,B009GFW3UK,Lynn Mckamey,"Love this mustard!  It's definitely spicy, but not tongue burning hot.  We were in a German restaurant, eating sausages with this mustard and I thought it was imported from Germany... not so, the waitress laughed and said it's Heinz!  That said, it can be a bit hard to find and I was thrilled to find it on Amazon.  Try it, you'll like it!",Tasty!,1434585600,,3,,,,,1,
5,TRUE,"08 18, 2014",A383E203CNJOK8,B00G45IWJ6,G. M. Kauger,Excellent! Most other places only offer an unwieldy 2 lb. (or bigger) bag. The price is right and the cofee is great.,Excellent! Most other places only offer an unwieldy 2 ...,1408320000,,3,,,1,,,
5,TRUE,"02 19, 2016",A1BSGQC4XXALMX,B000QVDJ10,Chuck,No comment.,Five Stars,1455840000,,1,,,,,,
5,TRUE,"07 12, 2016",A35XF0NC3WSIIX,B001HTR1ZU,Kindle Customer,"Best chips I ever ate. They are thick, but I like them thick. Great taste.",Five Stars,1468281600,,2,,,,,1,
5,TRUE,"02 14, 2014",ANHJIOGBJTV0T,B003V5HEXC,Mario A Cancelado,"The material and color are very well chosen for a serious and elegant presentation.
Delivery time was good, adequate packaging to protect the item.

Thank you.","Excellent quality, very good presentation",1392336000,,3,1,,,,,
5,TRUE,"02 23, 2015",AC9NSIZ4C0RXZ,B0056GPXT6,Anonymous,Delicious!,Five Stars,1424649600,,1,,,,,1,
1,TRUE,"08 05, 2017",A2XUC7SHK3RL06,B00YGAAH8A,Jerry B. Roberts,"The product does not arrive in the two standard retail boxes of 16 as depicted, but as loose cups in one plain corrugated box.  Odd, and less convenient than the smaller standard dispenser boxes.  I ordered 2 sets of 2 ""boxes of 16"", so I got two brown boxes with small labels claiming a 32-cup content each.  However, the first actually contained only 31, and the other only 30.  I'm giving just 1 star primarily for this shorting.",The product does not arrive in the standard retail packaging ...,1501891200,,3,,-1,,,,
5,TRUE,"11 26, 2015",A1CZ2HRPW967KC,B00F97TLWM,Will Simmons,A+++,Five Stars,1448496000,,1,,,,,,
3,TRUE,"07 26, 2017",A3LN2B4FO1OTOG,B00GFRO47C,Tracy in Tulsa,"Check expiration date when you order - we got this and only had a few months to use it up, ending up having to freeze a lot of it.",Beware of expiration date.,1501027200,,2,,,,1,,
5,TRUE,"09 20, 2015",A6IUV8KIT94PE,B00012NHAC,Carey Reed,Thank you!!!,Five Stars,1442707200,,1,,,,,,
4,TRUE,"11 19, 2015",A2G0UJNPB5B9FP,B0000A0BS5,A.M.,fantastic,Four Stars,1447891200,,1,,,,,,
5,TRUE,"09 14, 2015",A3VPLLOLQ6DAEP,B00DLJMNFW,Leah,":) LOVE the tea, so much better than unpalatable lose leaf Feverfew tea. Thank you for being Gluten Free!!",GREATNESS,1442188800,,3,,1,,,1,
5,TRUE,"02 13, 2012",A3SIL6UOV7DED0,B000KNHFKU,s r meza,BETTER THAN SUGAR AND CHEEPER THAN STORE BOUGHT. I JUST ABOUT READY TO ORDER AGAIN BUT THIS TIME I'M GOING TO SUBSCRIBE FOR AN EVEN BETTER RATE.,I LOVE THIS STUFF,1329091200,,3,,,1,,,
1,TRUE,"02 05, 2018",A1E52JNZ1ED265,B007PM9YM6,Amazon Customer,"I ordered the vanilla macadamia flavor. I have drank a few cups and have NEVER tasted any hint of vanilla or macadamia. In fact, the taste is terrible even with cream or a Splenda added. I will never buy this product AGAIN. It tasted so bitter, dark and seemed like something mightve been wrong with it...",Yuck,1517788800,,3,,,,,-1,
5,TRUE,"06 13, 2016",A3MGOF8BRVWDOT,B00KTDUBDO,fairdinkum,"Fresh, not off taste or off smell - and it tastes good.",not off taste or off smell - and it tastes good.,1465776000,,3,,,,,1,
5,TRUE,"01 21, 2016",A1Q1R9YCEJIOEB,B01A6R1LAO,Monika Conrad,Great product and fast shipping,Five Stars,1453334400,,2,1,,,,,
5,TRUE,"10 21, 2016",A10O513DP6A4BG,B0076DOWY4,Klaus Zbikowski,No review,Five Stars,1477008000,,1,,,,,,
3,TRUE,"08 17, 2014",A2IM6CYXQI2LK2,B008QMX2SG,Barb,Gave as gift and got no response.,Three Stars,1408233600,,1,,,,,,
5,TRUE,"11 29, 2012",AHZQLR9EJ98RK,B00724IF2M,Kiwi&amp;amp;aussieinus,"Love using this in all sorts of recipes from mousses, to custard filled tarts to cocktails and as it contains no added sugar, it allows you to control the level of sweetness. Have previously lived in the tropics and had passionfruit growing in our yard so I know what the fresh fruit tastes like and this is an excellent substitute for when you don't have access to the fresh fruit. So happy I found it on here as my local Latin food markets didn't carry it or the frozen pulp.",Fantastic substitute for the fresh fruit!,1354147200,,3,,,,1,,
1,TRUE,"10 12, 2017",A4NJ19BN956ZO,B01GZBV3YY,Harry F. Murphine,Poor quality. Inconsistent and takes at least 10-15 pumps on some to get any liquid to come up.,Find a better quality pump.,1507766400,3,3,,,-1,,,
1,TRUE,"01 27, 2018",A173H5QHWUR1MG,B00ICPXOM6,Will Martinez,"I enjoyed this product before, and it arrived Monday. When I opened it it looked separated. When I shook it, instead of coming back together, the ""mayo"" particles just got smaller. Is it bad? Did it spoil during transport?",Is it suppose to look like this?,1517011200,1,3,-1,,,,,
5,TRUE,"05 27, 2018",A3L1YSDWI06PIZ,B005HGOIQ4,deborah,Love these.  I have searched for a company that produced coconut sugar in packets and finally found this.,Love these. I have searched for a company that ...,1527379200,,2,,,,1,,
5,TRUE,"08 14, 2017",A1U109Q3PI2CU8,B00N2RRWQ8,Hill,The nacho cheese made a big hit at work everyone seemed to really super love it everything else was cool too just add it to a whole bunch of things salads tuna sandwiches whole bunch of varieties that you can definitely add spice to even in cooking really nice good,Add some spice to your life,1502668800,2,3,,,,1,,
1,TRUE,"05 09, 2017",AYC38G1CK0BQR,B00ESDZIRA,Amazon Customer,These are bitter and they have hard pieces of skin in them.  I ate part of one bag and donated the rest to the food bank.  They weren't a good deal at all.  There were some that tasted ok but the fear of getting a bitter one kept me from finishing the rest of the box.,Buyer beware,1494288000,,3,,,,,-1,
5,TRUE,"03 08, 2017",ANHPLPGM4T5I2,B00CQ805IG,Bestemor Carel,"Excellent quality, made Bavarian mint ice cream with this cocoa that is to die for.",Superior cocoa!,1488931200,,3,,,-1,,,
5,TRUE,"11 4, 2015",A3CXARP953B2SO,B00D8YLMXY,Heck,These could become habit forming.,Five Stars,1446595200,,1,,,,,,
5,TRUE,"10 4, 2016",AB29Y7PLPONO6,B000EVMNMI,Watchtwice,These are my all time favorite. I've ordered multiple of these bags.,Five Stars,1475539200,2,1,,,,,,
5,TRUE,"03 24, 2013",AWLBR0KYW9D7W,B001KUWFL6,GJ Church,"If you use tapioca flour, this is the way to buy it! The 4 pack is about the price of one package at our local health food store. It replaces white flour in recipes. We especially enjoy using it to make crepes!","Bob's Red Mill Tapioca Flour, 20 Ounce (Pack of 4)",1364083200,,3,,,1,,,
